"X","Y","C1hA","0kxZ","tvMX","OlYb","7rk5","F39L","VNSF","tkxI"
"2.0","8.0","-66","-94","-82","-86","-92","-76","-98","-98"
"2.0","8.0","-66","-94","-82","-86","-92","-76","-98","-97"
"2.0","8.0","-74","-94","-84","-86","-91","-76","-98","-97"
"2.0","8.0","-74","-94","-84","-87","-96","-96","-98","-97"
"2.0","8.0","-74","-94","-84","-87","-96","-96","-96","-100"
"2.0","8.0","-74","-94","-84","-87","-99","-96","-96","-100"
"2.0","8.0","-74","-94","-82","-93","-99","-96","-96","-100"
"2.0","8.0","-74","-94","-82","-87","-99","-81","-96","-100"
"2.0","8.0","-74","-94","-84","-87","-97","-81","-96","-100"
"2.0","8.0","-71","-94","-82","-87","-97","-97","-96","-100"
"2.0","8.0","-71","-91","-82","-93","-97","-81","-96","-100"
"2.0","8.0","-71","-91","-83","-87","-97","-81","-96","-100"
"2.0","8.0","-71","-91","-84","-87","-97","-76","-96","-98"
"2.0","8.0","-71","-90","-84","-87","-96","-76","-96","-98"
"2.0","8.0","-71","-91","-84","-87","-91","-76","-96","-98"
"2.0","8.0","-71","-91","-83","-87","-97","-76","-96","-98"
"2.0","8.0","-71","-91","-84","-87","-97","-76","-96","-98"
"2.0","8.0","-71","-91","-82","-93","-96","-76","-96","-98"
"2.0","8.0","-71","-91","-82","-93","-91","-76","-96","-98"
"2.0","8.0","-70","-91","-82","-87","-99","-81","-98","-98"
"2.0","8.0","-74","-91","-84","-86","-91","-81","-100","-98"
"2.0","8.0","-74","-91","-84","-86","-91","-81","-97","-98"
"2.0","8.0","-74","-91","-84","-86","-91","-81","-97","-98"
"2.0","8.0","-74","-91","-85","-86","-91","-81","-97","-98"
"2.0","8.0","-74","-91","-82","-86","-97","-95","-97","-98"
"2.0","8.0","-74","-91","-82","-86","-97","-95","-97","-98"
"2.0","8.0","-74","-91","-83","-86","-97","-77","-97","-98"
"2.0","8.0","-74","-91","-83","-86","-97","-77","-97","-98"
"2.0","8.0","-74","-91","-83","-86","-97","-82","-97","-98"
"2.0","8.0","-74","-99","-83","-86","-97","-82","-97","-98"
"2.0","8.0","-74","-99","-83","-86","-97","-82","-95","-99"
"2.0","8.0","-74","-99","-82","-86","-97","-82","-95","-99"
"2.0","8.0","-74","-99","-82","-86","-91","-82","-95","-99"
"2.0","8.0","-66","-99","-82","-86","-91","-82","-95","-99"
"2.0","8.0","-66","-96","-82","-86","-91","-82","-95","-99"
"2.0","8.0","-66","-96","-82","-86","-91","-82","-95","-100"
"2.0","8.0","-66","-96","-82","-92","-91","-82","-94","-100"
"2.0","8.0","-66","-91","-82","-92","-91","-92","-94","-100"
"2.0","8.0","-70","-91","-82","-92","-91","-76","-94","-100"
"2.0","8.0","-70","-97","-82","-87","-91","-92","-94","-98"
"2.0","8.0","-70","-97","-82","-85","-91","-92","-94","-97"
"2.0","8.0","-72","-91","-84","-90","-91","-92","-94","-102"
"2.0","8.0","-72","-91","-86","-90","-91","-77","-94","-98"
"2.0","8.0","-72","-91","-84","-90","-98","-90","-94","-98"
"2.0","8.0","-72","-91","-84","-90","-98","-77","-95","-98"
"2.0","8.0","-72","-91","-84","-85","-98","-77","-95","-98"
"2.0","8.0","-70","-91","-84","-85","-98","-90","-95","-98"
"2.0","8.0","-70","-91","-85","-85","-98","-90","-95","-98"
"2.0","8.0","-70","-91","-82","-88","-92","-90","-95","-98"
"2.0","8.0","-70","-92","-82","-85","-92","-91","-95","-98"
"2.0","8.0","-70","-92","-84","-88","-92","-91","-95","-98"
"2.0","8.0","-65","-92","-84","-85","-92","-91","-95","-98"
"2.0","8.0","-65","-92","-84","-85","-92","-76","-97","-100"
"2.0","8.0","-65","-92","-84","-85","-92","-76","-97","-100"
"2.0","8.0","-65","-92","-86","-88","-92","-76","-97","-100"
"2.0","8.0","-65","-99","-82","-90","-92","-85","-95","-100"
"2.0","8.0","-65","-99","-82","-90","-92","-77","-95","-100"
"2.0","8.0","-65","-99","-82","-90","-92","-85","-95","-100"
"2.0","8.0","-65","-99","-82","-91","-92","-85","-96","-99"
"2.0","8.0","-65","-99","-82","-88","-92","-85","-96","-99"
"2.0","8.0","-65","-99","-82","-92","-92","-92","-96","-99"
"2.0","8.0","-65","-99","-82","-92","-97","-92","-96","-99"
"2.0","8.0","-65","-99","-82","-92","-97","-92","-96","-100"
"2.0","8.0","-65","-99","-82","-92","-97","-92","-96","-100"
"2.0","8.0","-65","-99","-86","-92","-97","-97","-95","-100"
"2.0","8.0","-65","-92","-86","-92","-97","-97","-95","-100"
"2.0","8.0","-71","-92","-86","-92","-96","-97","-95","-100"
"2.0","8.0","-71","-92","-85","-87","-96","-97","-95","-100"
"2.0","8.0","-71","-92","-84","-87","-96","-79","-95","-100"
"2.0","8.0","-71","-92","-84","-87","-96","-79","-95","-97"
"2.0","8.0","-71","-92","-84","-87","-96","-79","-100","-97"
"2.0","8.0","-71","-92","-84","-97","-96","-79","-100","-97"
"2.0","8.0","-71","-92","-84","-87","-97","-79","-100","-97"
"2.0","8.0","-71","-92","-84","-87","-97","-79","-96","-97"
"2.0","8.0","-71","-92","-82","-87","-90","-79","-96","-97"
"2.0","8.0","-71","-92","-82","-87","-90","-79","-96","-99"
"2.0","8.0","-65","-92","-84","-87","-95","-79","-96","-99"
"2.0","8.0","-65","-93","-84","-87","-95","-79","-96","-97"
"2.0","8.0","-65","-93","-82","-99","-95","-79","-96","-97"
"2.0","8.0","-65","-95","-82","-99","-96","-79","-96","-97"
"2.0","8.0","-75","-95","-85","-87","-96","-79","-99","-97"
"2.0","8.0","-75","-95","-85","-87","-95","-76","-99","-99"
"2.0","8.0","-70","-94","-85","-87","-95","-76","-99","-99"
"2.0","8.0","-70","-94","-82","-86","-95","-76","-95","-99"
"2.0","8.0","-74","-94","-82","-94","-95","-76","-95","-101"
"2.0","8.0","-70","-94","-82","-94","-95","-76","-95","-101"
"2.0","8.0","-70","-94","-86","-86","-95","-76","-99","-101"
"2.0","8.0","-65","-94","-86","-86","-95","-76","-99","-100"
"2.0","8.0","-65","-94","-86","-86","-95","-79","-99","-100"
"2.0","8.0","-65","-94","-84","-86","-96","-79","-99","-100"
"2.0","8.0","-65","-95","-84","-86","-96","-79","-99","-100"
"2.0","8.0","-74","-95","-84","-87","-90","-79","-99","-99"
"2.0","8.0","-70","-94","-85","-87","-92","-79","-99","-98"
"2.0","8.0","-70","-97","-85","-87","-95","-99","-99","-98"
"2.0","8.0","-73","-97","-84","-87","-95","-99","-99","-98"
"2.0","8.0","-73","-97","-84","-87","-95","-81","-99","-98"
"2.0","8.0","-70","-98","-83","-87","-95","-100","-99","-99"
"2.0","8.0","-70","-93","-83","-98","-91","-100","-97","-101"
"2.0","8.0","-66","-93","-83","-86","-91","-100","-97","-101"
"2.0","8.0","-66","-93","-84","-86","-91","-100","-97","-101"
"2.0","8.0","-66","-93","-84","-86","-91","-75","-97","-101"
"2.0","8.0","-66","-92","-84","-86","-91","-75","-97","-100"
"2.0","8.0","-66","-92","-83","-86","-91","-80","-97","-100"
"2.0","8.0","-66","-99","-84","-88","-91","-80","-97","-98"
"2.0","8.0","-66","-93","-83","-88","-96","-80","-97","-98"
"2.0","8.0","-70","-93","-83","-85","-96","-98","-97","-98"
"2.0","8.0","-70","-93","-83","-87","-96","-98","-97","-98"
"2.0","8.0","-70","-93","-82","-86","-96","-98","-97","-98"
"2.0","8.0","-70","-93","-82","-86","-90","-97","-97","-98"
"2.0","8.0","-70","-93","-82","-96","-90","-97","-94","-98"
"2.0","8.0","-70","-93","-82","-96","-90","-76","-94","-97"
"2.0","8.0","-70","-93","-82","-96","-90","-80","-94","-97"
"2.0","8.0","-66","-93","-82","-96","-90","-80","-94","-97"
"2.0","8.0","-66","-93","-82","-96","-96","-76","-94","-98"
"2.0","8.0","-66","-92","-83","-96","-90","-76","-94","-98"
"2.0","8.0","-66","-92","-83","-96","-90","-76","-94","-99"
"2.0","8.0","-66","-92","-83","-96","-90","-76","-94","-99"
"2.0","8.0","-74","-92","-82","-94","-90","-76","-95","-99"
"2.0","8.0","-74","-93","-82","-94","-90","-81","-95","-99"
"2.0","8.0","-74","-93","-82","-86","-90","-81","-95","-100"
"2.0","8.0","-66","-93","-82","-86","-90","-81","-95","-100"
"6.0","8.0","-77","-88","-76","-83","-88","-71","-98","-96"
"6.0","8.0","-90","-88","-76","-83","-88","-71","-98","-93"
"6.0","8.0","-90","-88","-76","-83","-88","-68","-98","-93"
"6.0","8.0","-90","-88","-73","-86","-88","-71","-98","-92"
"6.0","8.0","-78","-87","-77","-85","-88","-71","-98","-96"
"6.0","8.0","-78","-88","-77","-82","-88","-71","-98","-96"
"6.0","8.0","-78","-87","-76","-82","-88","-71","-98","-92"
"6.0","8.0","-78","-86","-76","-85","-88","-71","-97","-92"
"6.0","8.0","-78","-84","-76","-85","-88","-68","-97","-92"
"6.0","8.0","-93","-84","-76","-86","-88","-68","-97","-92"
"6.0","8.0","-93","-84","-78","-86","-88","-68","-97","-92"
"6.0","8.0","-93","-84","-78","-86","-88","-68","-97","-92"
"6.0","8.0","-94","-84","-78","-86","-88","-68","-97","-91"
"6.0","8.0","-94","-84","-78","-86","-88","-72","-97","-91"
"6.0","8.0","-77","-84","-78","-86","-88","-72","-97","-91"
"6.0","8.0","-77","-84","-78","-86","-88","-72","-97","-92"
"6.0","8.0","-77","-84","-74","-86","-88","-72","-97","-92"
"6.0","8.0","-77","-84","-74","-88","-90","-68","-97","-92"
"6.0","8.0","-77","-86","-74","-88","-89","-68","-97","-92"
"6.0","8.0","-77","-86","-74","-88","-89","-72","-97","-92"
"6.0","8.0","-77","-84","-74","-88","-89","-72","-98","-92"
"6.0","8.0","-76","-84","-77","-88","-89","-72","-98","-92"
"6.0","8.0","-76","-84","-77","-85","-89","-72","-97","-94"
"6.0","8.0","-76","-85","-77","-82","-90","-72","-97","-94"
"6.0","8.0","-76","-84","-78","-82","-90","-72","-97","-94"
"6.0","8.0","-76","-84","-78","-85","-88","-72","-97","-94"
"6.0","8.0","-76","-85","-78","-82","-90","-72","-97","-94"
"6.0","8.0","-76","-84","-78","-82","-88","-72","-97","-94"
"6.0","8.0","-76","-84","-78","-82","-88","-72","-97","-90"
"6.0","8.0","-91","-84","-79","-82","-88","-72","-97","-90"
"6.0","8.0","-91","-86","-79","-85","-88","-72","-97","-90"
"6.0","8.0","-76","-86","-79","-85","-88","-72","-97","-91"
"6.0","8.0","-76","-85","-78","-85","-88","-72","-97","-91"
"6.0","8.0","-86","-86","-78","-87","-88","-73","-97","-91"
"6.0","8.0","-86","-86","-74","-83","-88","-73","-97","-91"
"6.0","8.0","-86","-86","-78","-87","-90","-73","-97","-91"
"6.0","8.0","-92","-86","-78","-87","-90","-73","-97","-94"
"6.0","8.0","-92","-85","-78","-87","-90","-73","-97","-90"
"6.0","8.0","-92","-85","-78","-82","-90","-73","-97","-90"
"6.0","8.0","-92","-85","-77","-82","-89","-73","-97","-90"
"6.0","8.0","-92","-85","-77","-84","-89","-73","-97","-90"
"6.0","8.0","-92","-85","-79","-87","-90","-68","-96","-92"
"6.0","8.0","-92","-85","-79","-87","-90","-68","-96","-92"
"6.0","8.0","-92","-85","-79","-87","-90","-73","-96","-92"
"6.0","8.0","-92","-85","-79","-83","-89","-73","-96","-92"
"6.0","8.0","-92","-85","-79","-82","-89","-73","-96","-92"
"6.0","8.0","-92","-85","-79","-86","-89","-73","-96","-92"
"6.0","8.0","-92","-86","-76","-86","-89","-73","-96","-92"
"6.0","8.0","-92","-86","-76","-85","-89","-73","-96","-90"
"6.0","8.0","-92","-86","-76","-83","-89","-73","-96","-93"
"6.0","8.0","-92","-86","-76","-83","-89","-73","-96","-93"
"6.0","8.0","-92","-86","-76","-84","-89","-73","-96","-95"
"6.0","8.0","-92","-86","-76","-84","-89","-72","-96","-90"
"6.0","8.0","-92","-86","-76","-84","-89","-72","-96","-92"
"6.0","8.0","-92","-86","-77","-84","-89","-69","-96","-94"
"6.0","8.0","-92","-86","-77","-84","-88","-69","-96","-90"
"6.0","8.0","-92","-86","-77","-84","-90","-68","-96","-92"
"6.0","8.0","-93","-86","-77","-84","-90","-68","-97","-92"
"6.0","8.0","-93","-86","-75","-84","-90","-68","-97","-92"
"6.0","8.0","-93","-86","-75","-84","-90","-68","-97","-90"
"6.0","8.0","-77","-86","-75","-87","-90","-68","-97","-90"
"6.0","8.0","-77","-86","-74","-87","-90","-69","-97","-90"
"6.0","8.0","-85","-86","-74","-87","-90","-69","-97","-92"
"6.0","8.0","-85","-86","-74","-87","-90","-69","-97","-92"
"6.0","8.0","-92","-86","-74","-87","-89","-69","-97","-94"
"6.0","8.0","-92","-86","-74","-87","-89","-69","-97","-90"
"6.0","8.0","-85","-86","-74","-87","-89","-69","-97","-92"
"6.0","8.0","-92","-86","-74","-87","-88","-72","-97","-92"
"6.0","8.0","-92","-86","-74","-82","-88","-72","-96","-91"
"6.0","8.0","-92","-86","-76","-87","-88","-72","-96","-92"
"6.0","8.0","-76","-86","-76","-87","-88","-72","-96","-94"
"6.0","8.0","-76","-86","-75","-87","-88","-72","-96","-93"
"6.0","8.0","-77","-86","-75","-87","-88","-73","-96","-93"
"6.0","8.0","-77","-86","-75","-87","-88","-73","-96","-93"
"6.0","8.0","-77","-86","-75","-87","-88","-73","-96","-93"
"6.0","8.0","-77","-86","-75","-87","-88","-73","-96","-94"
"6.0","8.0","-77","-86","-79","-87","-88","-73","-96","-94"
"6.0","8.0","-77","-86","-79","-87","-90","-69","-96","-94"
"6.0","8.0","-77","-86","-79","-86","-90","-69","-96","-94"
"6.0","8.0","-77","-86","-79","-86","-91","-69","-96","-96"
"6.0","8.0","-84","-86","-76","-87","-91","-69","-96","-91"
"6.0","8.0","-77","-86","-76","-87","-91","-69","-96","-91"
"6.0","8.0","-77","-86","-76","-87","-91","-69","-96","-91"
"6.0","8.0","-93","-86","-78","-87","-91","-69","-96","-92"
"6.0","8.0","-84","-86","-78","-87","-91","-69","-99","-92"
"6.0","8.0","-84","-85","-78","-84","-91","-69","-99","-92"
"6.0","8.0","-84","-85","-78","-84","-89","-69","-99","-92"
"6.0","8.0","-84","-85","-76","-87","-89","-72","-99","-92"
"6.0","8.0","-85","-86","-76","-87","-89","-72","-99","-92"
"6.0","8.0","-85","-86","-78","-87","-89","-72","-99","-92"
"6.0","8.0","-85","-86","-78","-87","-89","-72","-99","-92"
"6.0","8.0","-85","-86","-78","-87","-90","-72","-99","-94"
"6.0","8.0","-92","-86","-78","-87","-90","-72","-99","-94"
"6.0","8.0","-92","-86","-78","-87","-88","-69","-99","-94"
"6.0","8.0","-92","-86","-76","-87","-88","-68","-95","-92"
"6.0","8.0","-92","-85","-76","-87","-88","-68","-95","-92"
"6.0","8.0","-92","-85","-78","-83","-88","-68","-95","-92"
"6.0","8.0","-84","-85","-78","-83","-88","-69","-95","-91"
"6.0","8.0","-84","-85","-77","-83","-88","-69","-95","-94"
"6.0","8.0","-77","-86","-74","-83","-88","-68","-95","-91"
"6.0","8.0","-77","-86","-78","-82","-88","-68","-95","-91"
"6.0","8.0","-77","-86","-76","-82","-88","-68","-99","-91"
"6.0","8.0","-77","-86","-74","-82","-88","-68","-99","-94"
"6.0","8.0","-77","-86","-74","-83","-88","-68","-99","-94"
"6.0","8.0","-77","-86","-76","-83","-88","-68","-96","-94"
"6.0","8.0","-77","-86","-76","-86","-88","-68","-96","-94"
"6.0","8.0","-77","-86","-77","-86","-88","-68","-96","-94"
"6.0","8.0","-77","-86","-77","-85","-88","-68","-96","-92"
"6.0","8.0","-77","-86","-77","-83","-88","-68","-96","-92"
"6.0","8.0","-77","-86","-77","-83","-88","-73","-96","-92"
"6.0","8.0","-77","-86","-76","-83","-88","-73","-96","-92"
"6.0","8.0","-77","-86","-76","-87","-90","-73","-96","-92"
"6.0","8.0","-77","-86","-77","-87","-90","-73","-96","-92"
"6.0","8.0","-77","-86","-77","-87","-90","-73","-96","-94"
"6.0","8.0","-77","-86","-77","-85","-90","-73","-96","-94"
"6.0","8.0","-77","-86","-75","-85","-90","-72","-96","-92"
"6.0","8.0","-84","-86","-76","-82","-88","-70","-96","-94"
"6.0","8.0","-84","-86","-75","-82","-90","-70","-96","-92"
"6.0","8.0","-77","-86","-75","-82","-90","-70","-96","-92"
"6.0","8.0","-77","-86","-76","-84","-90","-70","-96","-92"
"6.0","8.0","-77","-86","-76","-84","-88","-72","-96","-92"
"6.0","8.0","-93","-86","-76","-84","-88","-70","-96","-92"
"6.0","8.0","-93","-86","-79","-84","-91","-70","-96","-92"
"6.0","8.0","-93","-87","-75","-84","-91","-68","-96","-92"
"6.0","8.0","-93","-85","-75","-83","-91","-68","-96","-92"
"6.0","8.0","-93","-85","-75","-83","-91","-72","-96","-92"
"6.0","8.0","-93","-85","-79","-83","-91","-72","-96","-92"
"6.0","8.0","-93","-85","-79","-83","-88","-72","-96","-92"
"6.0","8.0","-93","-86","-79","-86","-88","-72","-96","-92"
"6.0","8.0","-93","-86","-79","-86","-88","-72","-96","-91"
"6.0","8.0","-93","-86","-76","-86","-88","-68","-96","-92"
"6.0","8.0","-93","-86","-75","-86","-88","-68","-96","-92"
"6.0","8.0","-93","-86","-75","-86","-88","-68","-96","-92"
"6.0","8.0","-93","-86","-75","-86","-89","-69","-96","-92"
"6.0","8.0","-93","-86","-75","-86","-89","-69","-96","-94"
"6.0","8.0","-93","-87","-75","-86","-89","-70","-96","-94"
"6.0","8.0","-93","-87","-75","-86","-89","-70","-95","-94"
"6.0","8.0","-93","-87","-75","-86","-89","-70","-95","-92"
"6.0","8.0","-93","-87","-75","-86","-89","-70","-95","-92"
"6.0","8.0","-93","-87","-75","-86","-89","-70","-95","-93"
"6.0","8.0","-93","-87","-75","-86","-89","-70","-95","-91"
"6.0","8.0","-93","-85","-75","-83","-89","-70","-96","-91"
"6.0","8.0","-93","-85","-79","-88","-90","-70","-96","-91"
"6.0","8.0","-93","-85","-79","-85","-90","-70","-96","-93"
"6.0","8.0","-85","-85","-75","-85","-90","-70","-96","-93"
"6.0","8.0","-85","-85","-75","-85","-90","-68","-96","-93"
"6.0","8.0","-77","-86","-75","-87","-90","-68","-96","-93"
"6.0","8.0","-91","-86","-75","-87","-90","-68","-96","-90"
"6.0","8.0","-91","-86","-79","-87","-88","-68","-96","-90"
"6.0","8.0","-91","-85","-79","-86","-88","-68","-96","-90"
"10.0","8.0","-81","-92","-77","-92","-93","-88","-99","-98"
"10.0","8.0","-81","-92","-73","-92","-99","-76","-99","-98"
"10.0","8.0","-81","-92","-73","-95","-99","-76","-99","-98"
"10.0","8.0","-81","-94","-72","-95","-99","-76","-99","-98"
"10.0","8.0","-84","-93","-72","-95","-99","-76","-98","-100"
"10.0","8.0","-84","-93","-72","-95","-103","-86","-100","-100"
"10.0","8.0","-80","-93","-72","-94","-103","-86","-100","-100"
"10.0","8.0","-80","-92","-72","-94","-103","-87","-97","-100"
"10.0","8.0","-80","-92","-72","-94","-103","-87","-101","-100"
"10.0","8.0","-82","-92","-79","-93","-103","-87","-101","-100"
"10.0","8.0","-80","-92","-79","-93","-103","-87","-101","-100"
"10.0","8.0","-80","-92","-79","-93","-95","-87","-101","-100"
"10.0","8.0","-80","-92","-77","-93","-95","-87","-99","-100"
"10.0","8.0","-81","-92","-72","-92","-95","-87","-99","-100"
"10.0","8.0","-81","-92","-72","-92","-92","-77","-99","-101"
"10.0","8.0","-81","-92","-72","-86","-93","-77","-99","-101"
"10.0","8.0","-81","-92","-72","-86","-93","-87","-99","-101"
"10.0","8.0","-81","-92","-72","-86","-92","-87","-99","-101"
"10.0","8.0","-81","-92","-72","-87","-92","-87","-99","-101"
"10.0","8.0","-81","-92","-79","-87","-92","-87","-99","-101"
"10.0","8.0","-79","-92","-72","-87","-92","-84","-99","-101"
"10.0","8.0","-79","-92","-72","-87","-92","-84","-99","-101"
"10.0","8.0","-79","-92","-88","-87","-91","-84","-99","-101"
"10.0","8.0","-79","-93","-88","-86","-94","-84","-102","-101"
"10.0","8.0","-79","-93","-88","-86","-94","-84","-102","-100"
"10.0","8.0","-79","-93","-72","-86","-92","-75","-99","-100"
"10.0","8.0","-79","-93","-72","-87","-94","-75","-99","-100"
"10.0","8.0","-79","-93","-82","-87","-94","-75","-99","-100"
"10.0","8.0","-79","-93","-72","-87","-94","-86","-99","-100"
"10.0","8.0","-79","-93","-72","-92","-92","-76","-99","-100"
"10.0","8.0","-79","-93","-72","-92","-94","-76","-99","-100"
"10.0","8.0","-79","-93","-72","-92","-94","-77","-99","-100"
"10.0","8.0","-79","-93","-72","-90","-94","-77","-99","-100"
"10.0","8.0","-79","-93","-79","-90","-94","-85","-99","-100"
"10.0","8.0","-86","-93","-79","-90","-94","-85","-99","-100"
"10.0","8.0","-86","-96","-79","-92","-92","-85","-99","-100"
"10.0","8.0","-85","-95","-78","-93","-92","-85","-99","-100"
"10.0","8.0","-85","-95","-78","-93","-93","-76","-99","-100"
"10.0","8.0","-79","-94","-79","-93","-93","-76","-97","-100"
"10.0","8.0","-79","-92","-79","-93","-93","-76","-97","-100"
"10.0","8.0","-82","-92","-79","-93","-93","-76","-97","-101"
"10.0","8.0","-82","-94","-79","-93","-93","-76","-97","-101"
"10.0","8.0","-79","-94","-79","-94","-93","-84","-97","-101"
"10.0","8.0","-79","-94","-79","-94","-92","-84","-97","-100"
"10.0","8.0","-82","-94","-79","-94","-92","-84","-99","-100"
"10.0","8.0","-82","-94","-79","-94","-92","-75","-99","-100"
"10.0","8.0","-79","-92","-79","-94","-92","-75","-99","-100"
"10.0","8.0","-82","-92","-79","-85","-92","-84","-99","-100"
"10.0","8.0","-82","-97","-79","-85","-92","-77","-99","-100"
"10.0","8.0","-80","-92","-79","-85","-92","-77","-99","-100"
"10.0","8.0","-80","-92","-78","-85","-92","-77","-99","-100"
"10.0","8.0","-80","-95","-71","-85","-92","-83","-99","-100"
"10.0","8.0","-81","-88","-71","-85","-92","-83","-99","-100"
"10.0","8.0","-81","-91","-71","-85","-92","-83","-98","-99"
"10.0","8.0","-79","-94","-71","-85","-92","-83","-98","-98"
"10.0","8.0","-79","-94","-71","-94","-93","-83","-98","-98"
"10.0","8.0","-79","-90","-71","-94","-93","-83","-99","-99"
"10.0","8.0","-79","-90","-77","-94","-93","-76","-99","-99"
"10.0","8.0","-80","-90","-77","-94","-93","-77","-99","-99"
"10.0","8.0","-80","-90","-77","-94","-96","-77","-99","-99"
"10.0","8.0","-86","-93","-77","-94","-96","-77","-99","-98"
"10.0","8.0","-86","-93","-77","-94","-96","-77","-99","-99"
"10.0","8.0","-80","-93","-80","-94","-96","-77","-99","-99"
"10.0","8.0","-80","-93","-79","-94","-96","-77","-99","-99"
"10.0","8.0","-80","-93","-71","-94","-96","-77","-99","-98"
"10.0","8.0","-81","-93","-71","-89","-96","-77","-99","-98"
"10.0","8.0","-81","-93","-78","-89","-96","-77","-99","-98"
"10.0","8.0","-81","-93","-78","-89","-96","-77","-99","-98"
"10.0","8.0","-81","-93","-78","-89","-96","-77","-99","-98"
"10.0","8.0","-81","-93","-78","-89","-96","-77","-99","-101"
"10.0","8.0","-81","-93","-78","-92","-96","-77","-99","-101"
"10.0","8.0","-81","-96","-78","-92","-96","-77","-99","-101"
"10.0","8.0","-81","-96","-78","-92","-96","-77","-99","-100"
"10.0","8.0","-81","-90","-80","-86","-96","-84","-97","-101"
"10.0","8.0","-81","-90","-80","-86","-93","-84","-97","-101"
"10.0","8.0","-81","-90","-80","-86","-93","-84","-97","-101"
"10.0","8.0","-80","-92","-71","-86","-94","-84","-97","-101"
"10.0","8.0","-80","-92","-79","-86","-94","-84","-97","-101"
"10.0","8.0","-84","-90","-79","-86","-94","-84","-97","-101"
"10.0","8.0","-84","-90","-84","-86","-93","-76","-97","-101"
"10.0","8.0","-84","-90","-81","-86","-93","-76","-97","-101"
"10.0","8.0","-84","-90","-81","-86","-93","-76","-97","-101"
"10.0","8.0","-84","-90","-81","-86","-93","-76","-97","-101"
"10.0","8.0","-81","-92","-81","-86","-93","-76","-97","-101"
"10.0","8.0","-81","-90","-81","-86","-93","-76","-97","-101"
"10.0","8.0","-81","-90","-86","-86","-93","-76","-97","-101"
"10.0","8.0","-80","-90","-86","-86","-93","-76","-97","-101"
"10.0","8.0","-80","-98","-86","-95","-93","-77","-97","-101"
"10.0","8.0","-80","-98","-86","-95","-93","-77","-98","-101"
"10.0","8.0","-80","-98","-86","-95","-93","-77","-98","-101"
"10.0","8.0","-80","-98","-71","-95","-93","-77","-98","-101"
"10.0","8.0","-80","-91","-71","-95","-93","-76","-98","-101"
"10.0","8.0","-80","-91","-85","-95","-93","-76","-98","-101"
"10.0","8.0","-77","-91","-85","-95","-93","-76","-98","-101"
"10.0","8.0","-77","-91","-71","-95","-93","-76","-98","-101"
"10.0","8.0","-77","-91","-82","-95","-93","-76","-98","-101"
"10.0","8.0","-77","-91","-82","-95","-93","-86","-98","-101"
"10.0","8.0","-77","-91","-82","-95","-93","-86","-98","-101"
"10.0","8.0","-77","-91","-83","-95","-93","-86","-98","-101"
"10.0","8.0","-77","-91","-80","-95","-93","-86","-98","-101"
"10.0","8.0","-80","-91","-80","-95","-94","-86","-98","-98"
"10.0","8.0","-80","-91","-80","-88","-94","-86","-98","-98"
"10.0","8.0","-83","-91","-80","-88","-94","-86","-98","-102"
"10.0","8.0","-83","-98","-80","-94","-91","-77","-98","-102"
"10.0","8.0","-80","-90","-80","-94","-94","-87","-98","-102"
"10.0","8.0","-83","-90","-81","-94","-94","-87","-98","-102"
"10.0","8.0","-83","-90","-81","-94","-94","-87","-101","-102"
"10.0","8.0","-83","-90","-81","-86","-93","-82","-101","-102"
"10.0","8.0","-85","-94","-79","-86","-93","-82","-98","-102"
